Date,SOI,PDO,AO,Year,Month,Day,Hour,PC1,PC2,PC1_2_Amp
1889-02-01,-0.21,0.342,,1889,2,1,,,,
1889-03-01,-3.2,0.667,,1889,3,1,,,,
1889-04-01,0.07,1.106,,1889,4,1,,,,
1889-05-01,-0.19,1.157,,1889,5,1,,,,
1889-06-01,2.49,0.975,,1889,6,1,,,,
1889-07-01,0.18,0.907,,1889,7,1,,,,
1889-08-01,0.05,0.212,,1889,8,1,,,,
1889-09-01,1.05,-0.27,,1889,9,1,,,,
1889-10-01,0.29,-0.24,,1889,10,1,,,,
1889-11-01,1.92,0.548,,1889,11,1,,,,
1889-12-01,2.35,-0.258,,1889,12,1,,,,
1890-01-01,2.16,-1.072,,1890,1,1,,,,
1890-02-01,1.03,-1.206,,1890,2,1,,,,
1890-03-01,1.43,-1.019,,1890,3,1,,,,
1890-04-01,0.75,-0.903,,1890,4,1,,,,
1890-05-01,0.35,-0.868,,1890,5,1,,,,
1890-06-01,0.45,-1.762,,1890,6,1,,,,
1890-07-01,-0.23,-1.065,,1890,7,1,,,,
1890-08-01,-0.42,-0.553,,1890,8,1,,,,
1890-09-01,0.88,0.003,,1890,9,1,,,,
1890-10-01,0.17,-0.342,,1890,10,1,,,,
1890-11-01,0.16,-0.031,,1890,11,1,,,,
1890-12-01,-0.04,-0.238,,1890,12,1,,,,
1891-01-01,1.56,0.141,,1891,1,1,,,,
1891-02-01,-0.49,-0.29,,1891,2,1,,,,
1891-03-01,-1.22,-0.172,,1891,3,1,,,,
1891-04-01,0.7,0.062,,1891,4,1,,,,
1891-05-01,0.28,0.605,,1891,5,1,,,,
1891-06-01,-0.28,0.759,,1891,6,1,,,,
1891-07-01,-0.58,0.548,,1891,7,1,,,,
1891-08-01,-1.2,0.441,,1891,8,1,,,,
1891-09-01,-1.08,0.251,,1891,9,1,,,,
1891-10-01,0.05,0.667,,1891,10,1,,,,
1891-11-01,-0.49,0.167,,1891,11,1,,,,
1891-12-01,-0.62,-0.082,,1891,12,1,,,,
1892-01-01,0.2,-0.403,,1892,1,1,,,,
1892-02-01,-1.13,-0.475,,1892,2,1,,,,
1892-03-01,1.09,-0.24,,1892,3,1,,,,
1892-04-01,0.96,-0.492,,1892,4,1,,,,
1892-05-01,1.37,-1.122,,1892,5,1,,,,
1892-06-01,2.25,-1.106,,1892,6,1,,,,
1892-07-01,0.78,-1.146,,1892,7,1,,,,
1892-08-01,0.48,-1.361,,1892,8,1,,,,
1892-09-01,0.01,-1.164,,1892,9,1,,,,
1892-10-01,0.85,-1.061,,1892,10,1,,,,
1892-11-01,-0.88,-0.691,,1892,11,1,,,,
1892-12-01,0.3,-0.333,,1892,12,1,,,,
1893-01-01,0.91,0.268,,1893,1,1,,,,
1893-02-01,0.65,-0.258,,1893,2,1,,,,
1893-03-01,0.32,-0.569,,1893,3,1,,,,
1893-04-01,1.44,-0.821,,1893,4,1,,,,
1893-05-01,1.76,-1.152,,1893,5,1,,,,
1893-06-01,2.15,-1.201,,1893,6,1,,,,
1893-07-01,1.88,-1.209,,1893,7,1,,,,
1893-08-01,0.6,-0.514,,1893,8,1,,,,
1893-09-01,1.21,-0.672,,1893,9,1,,,,
1893-10-01,0.63,-0.974,,1893,10,1,,,,
1893-11-01,0.83,-0.573,,1893,11,1,,,,
1893-12-01,-0.5,-0.886,,1893,12,1,,,,
1894-01-01,2.15,-0.966,,1894,1,1,,,,
1894-02-01,0.97,-1.271,,1894,2,1,,,,
1894-03-01,0.82,-1.852,,1894,3,1,,,,
1894-04-01,1.1,-1.98,,1894,4,1,,,,
1894-05-01,-0.86,-2.114,,1894,5,1,,,,
1894-06-01,-0.01,-1.916,,1894,6,1,,,,
1894-07-01,0.47,-1.908,,1894,7,1,,,,
1894-08-01,-1.4,-1.331,,1894,8,1,,,,
1894-09-01,-0.24,-1.596,,1894,9,1,,,,
1894-10-01,0.31,-1.609,,1894,10,1,,,,
1894-11-01,-0.89,-1.481,,1894,11,1,,,,
1894-12-01,0.07,-0.621,,1894,12,1,,,,
1895-01-01,0.54,-0.144,,1895,1,1,,,,
1895-02-01,0.62,0.001,,1895,2,1,,,,
1895-03-01,-0.26,0.143,,1895,3,1,,,,
1895-04-01,1.34,-0.195,,1895,4,1,,,,
1895-05-01,0.65,-0.213,,1895,5,1,,,,
1895-06-01,-1.26,-0.518,,1895,6,1,,,,
1895-07-01,-0.75,-0.006,,1895,7,1,,,,
1895-08-01,-1.02,-0.117,,1895,8,1,,,,
1895-09-01,-0.52,-0.375,,1895,9,1,,,,
1895-10-01,-0.82,0.163,,1895,10,1,,,,
1895-11-01,-0.47,-0.087,,1895,11,1,,,,
1895-12-01,-1.0,0.055,,1895,12,1,,,,
1896-01-01,0.07,0.404,,1896,1,1,,,,
1896-02-01,0.37,0.466,,1896,2,1,,,,
1896-03-01,-0.84,0.167,,1896,3,1,,,,
1896-04-01,-1.19,-0.227,,1896,4,1,,,,
1896-05-01,-3.23,-0.591,,1896,5,1,,,,
1896-06-01,-2.99,-0.345,,1896,6,1,,,,
1896-07-01,-1.39,0.126,,1896,7,1,,,,
1896-08-01,-2.55,0.518,,1896,8,1,,,,
1896-09-01,-1.88,1.353,,1896,9,1,,,,
1896-10-01,-2.01,1.038,,1896,10,1,,,,
1896-11-01,-1.26,0.269,,1896,11,1,,,,
1896-12-01,-1.69,0.529,,1896,12,1,,,,
1897-01-01,-1.42,0.848,,1897,1,1,,,,
1897-02-01,-0.86,0.437,,1897,2,1,,,,
1897-03-01,-2.01,0.227,,1897,3,1,,,,
1897-04-01,-2.0,0.437,,1897,4,1,,,,
1897-05-01,-1.59,0.848,,1897,5,1,,,,
1897-06-01,-0.16,0.915,,1897,6,1,,,,
1897-07-01,-0.19,0.639,,1897,7,1,,,,
1897-08-01,-0.11,0.433,,1897,8,1,,,,
1897-09-01,-0.0,0.278,,1897,9,1,,,,
1897-10-01,0.1,0.769,,1897,10,1,,,,
1897-11-01,-0.96,0.388,,1897,11,1,,,,
1897-12-01,1.04,-0.183,,1897,12,1,,,,
1898-01-01,0.65,-0.413,,1898,1,1,,,,
1898-02-01,0.47,-0.302,,1898,2,1,,,,
1898-03-01,2.02,-0.452,,1898,3,1,,,,
1898-04-01,1.34,-0.348,,1898,4,1,,,,
1898-05-01,-0.11,-0.32,,1898,5,1,,,,
1898-06-01,-0.51,-0.151,,1898,6,1,,,,
1898-07-01,0.65,-0.305,,1898,7,1,,,,
1898-08-01,0.72,0.178,,1898,8,1,,,,
1898-09-01,0.88,0.172,,1898,9,1,,,,
1898-10-01,0.34,-0.313,,1898,10,1,,,,
1898-11-01,0.02,0.032,,1898,11,1,,,,
1898-12-01,0.42,0.346,,1898,12,1,,,,
1899-01-01,1.31,-0.173,,1899,1,1,,,,
1899-02-01,0.87,-0.575,,1899,2,1,,,,
1899-03-01,1.38,-0.513,,1899,3,1,,,,
1899-04-01,0.49,-0.529,,1899,4,1,,,,
1899-05-01,-0.76,-0.66,,1899,5,1,,,,
1899-06-01,-1.43,-0.795,,1899,6,1,,,,
1899-07-01,-0.53,-0.768,,1899,7,1,,,,
1899-08-01,-1.18,0.192,,1899,8,1,,,,
1899-09-01,-0.19,0.838,,1899,9,1,,,,
1899-10-01,0.74,0.131,,1899,10,1,,,,
1899-11-01,1.66,0.919,,1899,11,1,,,,
1899-12-01,-0.44,0.882,,1899,12,1,,,,
1900-01-01,-0.89,0.875,,1900,1,1,,,,
1900-02-01,-0.73,0.665,,1900,2,1,,,,
1900-03-01,-2.95,1.031,,1900,3,1,,,,
1900-04-01,-2.1,1.432,,1900,4,1,,,,
1900-05-01,-0.76,1.051,,1900,5,1,,,,
1900-06-01,3.1,0.859,,1900,6,1,,,,
1900-07-01,1.02,1.256,,1900,7,1,,,,
1900-08-01,0.75,1.09,,1900,8,1,,,,
1900-09-01,-1.61,0.452,,1900,9,1,,,,
1900-10-01,-2.13,0.294,,1900,10,1,,,,
1900-11-01,-0.75,0.301,,1900,11,1,,,,
1900-12-01,-0.73,1.157,,1900,12,1,,,,
1901-01-01,-0.09,1.114,,1901,1,1,,,,
1901-02-01,0.21,0.873,,1901,2,1,,,,
1901-03-01,0.88,0.439,,1901,3,1,,,,
1901-04-01,0.64,-0.079,,1901,4,1,,,,
1901-05-01,0.08,-0.612,,1901,5,1,,,,
1901-06-01,2.3,-0.908,,1901,6,1,,,,
1901-07-01,1.51,-0.721,,1901,7,1,,,,
1901-08-01,0.8,-0.625,,1901,8,1,,,,
1901-09-01,-1.58,-0.015,,1901,9,1,,,,
1901-10-01,-2.69,0.313,,1901,10,1,,,,
1901-11-01,-0.95,0.322,,1901,11,1,,,,
1901-12-01,-0.32,0.66,,1901,12,1,,,,
1902-01-01,1.68,0.925,,1902,1,1,,,,
1902-02-01,-0.28,0.815,,1902,2,1,,,,
1902-03-01,1.1,0.546,,1902,3,1,,,,
1902-04-01,1.15,1.038,,1902,4,1,,,,
1902-05-01,1.41,0.799,,1902,5,1,,,,
1902-06-01,0.24,1.677,,1902,6,1,,,,
1902-07-01,0.21,2.432,,1902,7,1,,,,
1902-08-01,-1.09,1.549,,1902,8,1,,,,
1902-09-01,-1.76,0.836,,1902,9,1,,,,
1902-10-01,-0.77,0.873,,1902,10,1,,,,
1902-11-01,-0.26,0.37,,1902,11,1,,,,
1902-12-01,-0.45,0.126,,1902,12,1,,,,
1903-01-01,-1.1,0.08,,1903,1,1,,,,
1903-02-01,-1.11,0.089,,1903,2,1,,,,
1903-03-01,1.8,-0.016,,1903,3,1,,,,
1903-04-01,2.18,-0.627,,1903,4,1,,,,
1903-05-01,0.92,0.265,,1903,5,1,,,,
1903-06-01,-0.22,0.095,,1903,6,1,,,,
1903-07-01,0.6,1.206,,1903,7,1,,,,
1903-08-01,-0.15,1.107,,1903,8,1,,,,
1903-09-01,0.81,0.538,,1903,9,1,,,,
1903-10-01,0.3,0.244,,1903,10,1,,,,
1903-11-01,-0.05,0.078,,1903,11,1,,,,
1903-12-01,1.66,0.649,,1903,12,1,,,,
1904-01-01,1.39,0.656,,1904,1,1,,,,
1904-02-01,1.53,-0.283,,1904,2,1,,,,
1904-03-01,0.89,-0.042,,1904,3,1,,,,
1904-04-01,3.64,-0.412,,1904,4,1,,,,
1904-05-01,1.0,-0.188,,1904,5,1,,,,
1904-06-01,-1.01,-0.171,,1904,6,1,,,,
1904-07-01,-0.87,-0.149,,1904,7,1,,,,
1904-08-01,-0.11,1.077,,1904,8,1,,,,
1904-09-01,-0.01,1.541,,1904,9,1,,,,
1904-10-01,-0.11,1.144,,1904,10,1,,,,
1904-11-01,-1.81,1.627,,1904,11,1,,,,
1904-12-01,0.18,1.95,,1904,12,1,,,,
1905-01-01,-1.08,1.773,,1905,1,1,,,,
1905-02-01,-1.84,1.562,,1905,2,1,,,,
1905-03-01,-3.51,1.616,,1905,3,1,,,,
1905-04-01,-3.05,1.509,,1905,4,1,,,,
1905-05-01,-1.68,1.09,,1905,5,1,,,,
1905-06-01,-2.29,1.208,,1905,6,1,,,,
1905-07-01,-2.11,1.398,,1905,7,1,,,,
1905-08-01,-0.96,2.224,,1905,8,1,,,,
1905-09-01,-0.7,1.223,,1905,9,1,,,,
1905-10-01,-0.83,0.204,,1905,10,1,,,,
1905-11-01,-1.81,0.918,,1905,11,1,,,,
1905-12-01,-1.57,0.163,,1905,12,1,,,,
1906-01-01,-0.43,1.332,,1906,1,1,,,,
1906-02-01,-0.88,1.405,,1906,2,1,,,,
1906-03-01,-0.56,0.894,,1906,3,1,,,,
1906-04-01,-0.84,0.984,,1906,4,1,,,,
1906-05-01,-1.03,1.268,,1906,5,1,,,,
1906-06-01,-0.71,0.859,,1906,6,1,,,,
1906-07-01,0.68,0.455,,1906,7,1,,,,
1906-08-01,1.43,-0.005,,1906,8,1,,,,
1906-09-01,1.75,-0.426,,1906,9,1,,,,
1906-10-01,0.81,0.546,,1906,10,1,,,,
1906-11-01,1.95,0.893,,1906,11,1,,,,
1906-12-01,0.3,-0.149,,1906,12,1,,,,
1907-01-01,0.56,-0.572,,1907,1,1,,,,
1907-02-01,-0.23,0.101,,1907,2,1,,,,
1907-03-01,-0.32,-0.865,,1907,3,1,,,,
1907-04-01,-0.84,-0.779,,1907,4,1,,,,
1907-05-01,-0.57,0.056,,1907,5,1,,,,
1907-06-01,0.45,0.726,,1907,6,1,,,,
1907-07-01,-0.03,0.851,,1907,7,1,,,,
